Season_encoded,Round,Circuit_encoded,Laps,NumParticipants,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Team_encoded,Driver_encoded,Q1Time,GridPosition,NumPitStops,PitStopLaps,TyreCompounds_encoded
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,5,38,83.348,3.0,1,[26],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,10,13,82.824,1.0,1,[19],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,5,28,83.096,2.0,1,[18],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,13,29,83.494,8.0,1,[26],"[5, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,9,2,83.597,10.0,1,[26],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,13,37,83.483,4.0,1,[21],"[5, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,14,15,83.782,7.0,1,[24],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,10,4,83.686,15.0,1,[25],"[6, 5]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,9,36,84.073,11.0,1,[25],"[6, 5]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,14,31,83.529,9.0,1,[22],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,6,26,84.344,12.0,1,[24],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,6,25,84.503,14.0,1,[23],"[6, 4]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,15,20,84.636,18.0,2,"[20, 27]","[5, 4, 6]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,17,34,84.464,13.0,2,"[25, 29]","[5, 4, 6]"
0,1,12,58,20,24.1,36.2,997.1,38.2,294,3.0,16,14,84.532,16.0,2,"[1, 22]","[4, 6]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,5,38,89.06,1.0,1,[17],"[5, 4]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,10,4,89.275,3.0,1,[19],"[5, 3]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,10,13,89.396,9.0,1,[25],"[4, 3]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,16,10,90.121,5.0,2,"[15, 34]","[5, 4, 5]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,7,21,89.594,6.0,2,"[13, 27]","[5, 5, 4]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,14,15,90.26,7.0,2,"[15, 39]","[5, 4, 5]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,9,2,90.53,13.0,2,"[14, 39]","[4, 3, 5]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,9,36,90.479,14.0,2,"[10, 28]","[5, 4, 3]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,15,8,91.063,17.0,1,[23],"[4, 3]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,6,25,90.338,8.0,2,"[15, 35]","[5, 3, 4]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,14,31,89.893,10.0,2,"[16, 26]","[5, 5, 4]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,15,20,91.42,19.0,2,"[3, 34]","[4, 3, 5]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,7,12,90.53,16.0,3,"[18, 30, 45]","[5, 4, 5, 5]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,17,34,91.503,20.0,2,"[10, 29]","[4, 5, 3]"
0,2,22,57,20,28.0,46.4,1009.2,33.5,310,1.5,17,33,91.414,18.0,2,"[22, 40]","[4, 3, 5]"
